email,firstName,lastName,displayName,userName,active,userType,locale,preferredLanguage,timeZone,UserGroupIndicator,FlexField1,FlexField2,FlexField3,FlexField4,FlexField5
john.smith@hp.com,John,Smith,John Smith,john.smith,true,C,en_US,en,UTC,C
emma.jones@hp.com,Emma,Jones,Emma Jones,emma.jones,true,S,en_US,en,UTC,S
michael.brown@hp.com,Michael,Brown,Michael Brown,michael.brown,true,CS,en_US,en,UTC,CS
olivia.davis@hp.com,Olivia,Davis,Olivia Davis,olivia.davis,true,S,en_US,en,UTC,S
william.miller@hp.com,William,Miller,William Miller,william.miller,true,C,en_US,en,UTC,C
sophia.wilson@hp.com,Sophia,Wilson,Sophia Wilson,sophia.wilson,true,S,en_US,en,UTC,S
james.moore@hp.com,James,Moore,James Moore,james.moore,true,C,en_US,en,UTC,C
ava.taylor@hp.com,Ava,Taylor,Ava Taylor,ava.taylor,true,S,en_US,en,UTC,S
benjamin.anderson@hp.com,Benjamin,Anderson,Benjamin Anderson,benjamin.anderson,true,C,en_US,en,UTC,C
mia.thomas@hp.com,Mia,Thomas,Mia Thomas,mia.thomas,true,S,en_US,en,UTC,S
